course_id,title,job_role,skills_required,sub_skills_required,description,concise_course_title
1,UI/UX Designer Course 1,UI/UX Designer,"Prototyping, Wireframing","Figma, Adobe XD","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Wireframing. Sub-skills required: Figma, Adobe XD.",Learn prototyping: adobe
2,Tester Course 2,Tester,"Testing Techniques, Bug Tracking","Bugzilla, Selenium","This course covers essential skills for the role of Tester. Skills required: Testing Techniques, Bug Tracking. Sub-skills required: Bugzilla, Selenium.",Learn bug: bugzilla
3,Frontend Developer Course 3,Frontend Developer,"JavaScript, CSS","Webpack, Sass","This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript, CSS. Sub-skills required: Webpack, Sass.",Master css: sass
4,DevOps Course 4,DevOps,"Automation, Continuous Deployment",Jenkins,"This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Deployment. Sub-skills required: Jenkins.",Explore automation: jenkins
5,UI/UX Designer Course 5,UI/UX Designer,Design Thinking,Adobe XD,This course covers essential skills for the role of UI/UX Designer. Skills required: Design Thinking. Sub-skills required: Adobe XD.,Explore design: adobe
6,Web Developer Course 6,Web Developer,JavaScript,"Vue.js, Bootstrap","This course covers essential skills for the role of Web Developer. Skills required: JavaScript. Sub-skills required: Vue.js, Bootstrap.",Explore javascript: bootstrap
7,Software Engineer Course 7,Software Engineer,"Software Design, Programming","Git, Docker","This course covers essential skills for the role of Software Engineer. Skills required: Software Design, Programming. Sub-skills required: Git, Docker.",Explore design: docker
8,DevOps Course 8,DevOps,"Automation, Continuous Integration","Docker, Jenkins","This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Docker, Jenkins.",Understand automation: docker
9,DevOps Course 9,DevOps,"Automation, Continuous Integration",Docker,"This course covers essential skills for the role of DevOps. Skills required: Automation, Continuous Integration. Sub-skills required: Docker.",Explore automation: docker
10,Tester Course 10,Tester,Testing Techniques,TestRail,This course covers essential skills for the role of Tester. Skills required: Testing Techniques. Sub-skills required: TestRail.,Master techniques: testrail
11,Admin Course 11,Admin,Network Management,Scripting,This course covers essential skills for the role of Admin. Skills required: Network Management. Sub-skills required: Scripting.,Understand management: scripting
12,Tester Course 12,Tester,Bug Tracking,"Bugzilla, TestRail","This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla, TestRail.",Master bug: bugzilla
13,DevOps Course 13,DevOps,Continuous Integration,Jenkins,This course covers essential skills for the role of DevOps. Skills required: Continuous Integration. Sub-skills required: Jenkins.,Master continuous: jenkins
14,Data Analyst Course 14,Data Analyst,Excel,Matplotlib,This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Matplotlib.,Explore excel: matplotlib
15,Tester Course 15,Tester,Bug Tracking,Bugzilla,This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla.,Explore bug: bugzilla
